"cohort","domain","timepoint","model","N","MAE","MAE_SE_boot","RMSE","RMSE_SE_boot","wMAE_test","wMAE_SE_boot","nRMSE","nRMSE_SE_boot","RAE","RAE_SE_boot","R2","Pearson","Spearman","AE_mean","AE_sd","AE_median","AE_Q1","AE_Q3","AE_IQR","AE_min","AE_max","AE_lower_whisker","AE_upper_whisker","AE_n","wAE_mean","wAE_sd","wAE_median","wAE_Q1","wAE_Q3","wAE_IQR","wAE_min","wAE_max","wAE_lower_whisker","wAE_upper_whisker","wAE_n","PAD_mean","PAD_sd","PAD_median","PAD_Q1","PAD_Q3","PAD_IQR","PAD_min","PAD_max","PAD_lower_whisker","PAD_upper_whisker","PAD_n","predage_mean","predage_sd","predage_median","predage_Q1","predage_Q3","predage_IQR","predage_min","predage_max","predage_lower_whisker","predage_upper_whisker","predage_n","PAR_mean","PAR_sd","PAR_median","PAR_Q1","PAR_Q3","PAR_IQR","PAR_min","PAR_max","PAR_lower_whisker","PAR_upper_whisker","PAR_n","pearson_z","pearson_var","pearson_se","mean_age","min_age","max_age","age_range","overlap_age","n_male","n_female","processing","ML_model_brain","training_age_min_brain","training_age_max_brain"
"ALSPAC","brain","15up_450k","ENIGMA",802,7.71503,0.17321,9.28266,0.21122,1.18693,0.03485,1.4281,0.03963,7.32076,0.30641,0.03465,0.18614,0.18141,7.71502996649591,5.16520422861889,7.08243093762035,3.749686992473,10.8493583743783,7.0996713819053,0.00148133520499982,32.1316635131064,0.00148133520499982,21.41783903061,802,1.18692768715322,0.794646804402905,1.0896047596339,0.576874921918923,1.66913205759666,1.09225713567774,0.000227897723846127,4.94333284817022,0.000227897723846127,3.29505215855539,802,6.99851339880026,6.10204834330134,6.86882544361695,3.0513055983878,10.7751881608283,7.7238825624405,-13.8864530474527,32.1316635131064,-7.9625150630986,21.8919770095222,802,27.2842116531643,6.20597335123991,27.1938997884984,23.1754763214142,31.1705044576503,7.9950281362361,7.45898452995075,52.7116635131064,11.3008658951496,43.0619770095222,802,3.54385404369127e-16,6.09751563966046,-0.0523285999080922,-3.84018459091622,3.80252308394777,7.64270767486399,-20.3971268663722,25.1829271669902,-15.2538315974039,15.0430309688292,802,0.188335627698678,0.00125156445556946,0.0353774568838612,20.28569825,18,24.5,6.5,NA,553,249,"extracted","ridge regression",18,75
"ALSPAC","brain","15up_450k","Centile2",802,2.40168,0.0672,3.01159,0.07444,0.36949,0.01178,0.46332,0.01414,2.27894,0.09567,0.03042,0.1744,0.18091,2.40167826044027,1.81816239204274,1.93116147803175,1.0127233964971,3.472214904333,2.4594915078359,0.00128723628399996,9.1271040354407,0.00128723628399996,7.0802657908841,802,0.369488963144657,0.279717291083499,0.297101765851039,0.155803599461092,0.534186908358923,0.378383308897831,0.000198036351384609,1.40416985160626,0.000198036351384609,1.08927166013602,802,-0.300166398180195,2.99845988324494,-0.382483857505351,-2.267508812116,1.7065335817524,3.9740423938684,-9.1271040354407,8.2792027712096,-8.1386646485144,7.6524161056208,802,19.9855318561839,2.91016563860554,19.8796425389562,18.0000385602817,21.9153628630732,3.9153243027915,12.0048772520531,27.7111941852624,12.9528959645593,27.7111941852624,802,6.53398089305578e-17,2.86556549213111,-0.136140028956579,-2.01595271459309,1.88191589664367,3.89786861123677,-7.91196039042828,7.66098923258093,-7.68765297878899,7.66098923258093,802,0.176201131566476,0.00125156445556946,0.0353774568838612,20.28569825,18,24.5,6.5,NA,553,249,"extracted","Support Vector Regression (SVR) with Radial Basis Function (RBF) Kernel",5,40
"ALSPAC","brain","15up_450k","Kaufmann",802,5.69574,0.18756,7.74041,0.26876,0.87627,0.03271,1.19083,0.04519,5.40466,0.25701,0.0682,0.26116,0.26392,5.69573609925268,5.24469322478943,4.28203956604,1.7794457244873,7.9587001037598,6.1792543792725,0.0111370849608967,30.951888961792,0.0111370849608967,17.174861907959,802,0.876267092192719,0.806875880736836,0.658775317852308,0.273760880690354,1.22441540057843,0.950654519888077,0.0017133976862918,4.76182907104492,0.0017133976862918,2.64228644737831,802,4.71489421639954,6.14253508784375,3.6934595489502,0.286304473876999,7.9587001037598,7.6723956298828,-7.0935878753662,30.951888961792,-7.0935878753662,19.3838330078125,802,25.0005924707636,6.35722112997755,24.0224075317383,20.4292736053467,28.222261428833,7.7929878234863,12.1564121246338,51.531888961792,12.1564121246338,39.7478103637695,802,-2.25920695285319e-16,6.13660192343934,-0.925998913283605,-4.34975575296443,3.26784925728471,7.61760501024914,-11.6074127383093,26.1798593186725,-11.6074127383093,14.569986482238,802,0.267352911315316,0.00125156445556946,0.0353774568838612,20.28569825,18,24.5,6.5,NA,553,249,"extracted","gradient tree boosting using the xgboost package in R (sex-specific)",3,96
"ALSPAC","brain","15up_450k","PyBrainAge",802,10.29572,0.20281,11.83836,0.25612,1.58396,0.04246,1.82129,0.05082,9.76956,0.40382,0.01118,0.10574,0.10833,10.2957211780171,5.84700782623862,9.418965327219,6.3144971516871,13.4062200866932,7.0917229350061,0.0732680594653985,35.2304134246803,0.0732680594653985,23.877880698152,802,1.58395710431033,0.899539665575172,1.44907158880292,0.971461100259554,2.0624953979528,1.09103429769325,0.0112720091485228,5.42006360379697,0.0112720091485228,3.673520107408,802,10.2210433083443,5.97675175817547,9.418965327219,6.2775987535889,13.4062200866932,7.1286213331043,-6.4764569633802,35.2304134246803,-2.0907464707727,23.877880698152,802,30.5067415627084,5.96165966858802,29.5482929904826,26.5359233696167,33.5757443531494,7.0398209835327,16.4435430366198,54.6504134246803,16.4435430366198,44.0891187542779,802,-4.07543215024496e-16,5.92823991034424,-0.84537670760851,-3.77829099923616,2.9301944329328,6.70848543216896,-15.2575765067166,24.5361747081601,-12.5597304835754,12.3913403846703,802,0.106136756220092,0.00125156445556946,0.0353774568838612,20.28569825,18,24.5,6.5,NA,553,249,"extracted","Extra Trees regression (ensemble learning family)",2,100
"ALSPAC","brain","15up_450k","DevBrainAge",802,3.64424,0.07635,4.23229,0.0813,0.56065,0.01571,0.65112,0.01654,3.458,0.11434,0.00503,-0.07092,-0.07528,3.64423822636022,2.1535046420282,3.3864422225952,1.9437599945068,5.1757355499268,3.23197555542,0.0338803100585992,10.5734005737305,0.0338803100585992,10.0166081619263,802,0.560652034824648,0.331308406465878,0.520991111168492,0.299039999154892,0.796267007681046,0.497227008526154,0.00521235539363064,1.62667701134315,0.00521235539363064,1.54101664029635,802,-3.60032568772237,2.22623147910686,-3.3864422225952,-5.1757355499268,-1.9437599945068,3.23197555542,-10.5734005737305,1.822015838623,-10.0166081619263,1.822015838623,802,16.6853725666417,1.64289916592719,16.893630027771,15.5495557785034,17.9081783294678,2.3586225509644,11.8127422332764,20.1392478942871,12.0703783035278,20.1392478942871,802,-8.85963510922818e-18,1.63876191101314,0.170868709570089,-1.12015966238925,1.19587127416676,2.316030936556,-4.84796531946114,3.54893955591622,-4.59032924920974,3.54893955591622,802,-0.0710392609525609,0.00125156445556946,0.0353774568838612,20.28569825,18,24.5,6.5,NA,553,249,"extracted","XGBoost",9,19
"ALSPAC","brain","15up_450k","Pyment",791,2.12684,0.06264,2.73576,0.08941,0.32721,0.01089,0.42089,0.0153,2.01799,0.09081,0.05257,0.22928,0.23546,2.1268382749684,1.72182848917901,1.763483,0.829609499999998,2.9866685,2.157059,0.00589399999999785,12.9596875,0.00589399999999785,6.095995,791,0.327205888456676,0.264896690642925,0.271305076923077,0.127632230769231,0.459487461538462,0.331855230769231,0.000906769230768899,1.99379807692308,0.000906769230768899,0.937845384615384,791,0.574221411504425,2.67651128510525,0.540482000000001,-1.1774715,2.13933,3.3168015,-7.848148,12.9596875,-6.006422,7.091991,791,20.8556752673831,2.62751404532563,20.688522,19.1034975,22.462545,3.3590475,11.901852,32.5396875,15.01948,27.49883,791,-6.78625578263291e-17,2.55752056106757,-0.0769262144155328,-1.71045140266003,1.53415290862777,3.2446043112878,-8.72375630322128,11.9876723854909,-5.89617204696936,6.35391225181461,791,0.233429384118707,0.00126903553299492,0.0356235249939548,20.28569825,18,24.5,6.5,NA,553,249,"minimal","Simple Fully Convolutional Network with a regression variant (SFCN-reg) [family of Convolutional Neural Networks (CNNs)]",3,85
"ALSPAC","brain","15up_450k","DBN",801,12.95954,0.1853,13.93808,0.18494,1.99378,0.04479,2.14432,0.05169,12.34923,0.4759,0.0298,0.17262,0.15579,12.9595425124532,5.13353429012673,12.7746487426758,9.5297869873047,16.1024760437012,6.5726890563965,0.2599505615234,31.2007598876953,0.2599505615234,25.5314064025879,801,1.99377577114664,0.789774506173343,1.96533057579628,1.46612107496995,2.47730400672326,1.01118293175331,0.0399923940805231,4.80011690579928,0.0399923940805231,3.92790867732122,801,12.9511852395847,5.15460842438379,12.7746487426758,9.5297869873047,16.1024760437012,6.5726890563965,-2.3354759979248,31.2007598876953,0.2599505615234,25.5314064025879,801,33.2320341784112,5.2099431143837,32.9137229919434,30.0119113922119,36.2778396606445,6.2659282684326,18.4945240020752,51.4209213256836,21.2467269897461,44.9474029541016,801,8.20539364017594e-17,5.1317356877792,-0.154879653577247,-3.25306294618914,2.97819463809188,6.23125758428101,-15.0942525244067,17.9945510901539,-12.41866490229,12.2865837527007,801,0.174365879434754,0.0012531328320802,0.0353996162702394,20.28569825,18,24.5,6.5,NA,553,249,"minimal","Convolutional Neural Network built using the inception-resnetv2 framework ",3,95
"ALSPAC","brain","15up_450k","DunedinPACNI",802,19.03506,0.04945,19.08622,0.05028,2.92847,0.04959,2.93634,0.05216,18.06228,0.61226,0.01986,0.14092,0.11244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.25064225666471,0.437029953532662,1.25559703497782,0.961951615655932,1.54170064121138,0.579749025555448,-0.111090236240261,2.59974285255206,0.181403953604932,2.40652129358909,802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.14186409213637,0.00125156445556946,0.0353774568838612,20.28569825,18,24.5,6.5,NA,553,249,"extracted","EN",45,45
"BHRC","brain","T0","ENIGMA",739,13.48702,0.26399,15.29795,0.30796,1.66199,0.08862,1.88515,0.10039,8.75279,0.27305,0.02305,0.15183,0.17868,13.4870245316481,7.22482171697606,13.0749257181999,8.555186359538,17.7625600483196,9.20737368878165,0.0803085192621493,49.625249592269,0.0803085192621493,31.464427150575,739,1.66198910600016,0.890305712592952,1.61120668642798,1.05424487780744,2.18885798166288,1.13461310385543,0.00989631803660597,6.1152572245534,0.00989631803660597,3.87732186799849,739,13.269212191116,7.61799082348497,13.0201866411704,8.5516709917933,17.7625600483196,9.21088905652635,-13.3376179103313,49.625249592269,-4.973399069308,31.464427150575,739,23.2002083483072,7.67600372165335,23.09061419,18.283663625,27.78230447,9.498640845,-1.663422154,56.278227005,4.570134424,41.8926026,739,-2.04068268823502e-16,7.58701079640817,-0.276049452137415,-4.7513919312399,4.40279249695204,9.15418442819193,-25.9607464423003,35.1411023207308,-18.4203615603514,17.8287180001362,739,0.15301308676185,0.00135869565217391,0.0368604890387243,9.930996157,5.856262834,13.97125257,8.114989733,NA,422,317,"extracted","ridge regression",18,75
"BHRC","brain","T0","Centile2",739,3.75944,0.09399,4.54134,0.10387,0.46327,0.02593,0.55962,0.03066,2.4398,0.08375,0.20885,0.45701,0.43105,3.75944099431237,2.54935167259895,3.53910970414,1.67213815051576,5.42602072388461,3.75388257336885,0.00443656098071976,15.4413108001587,0.00443656098071976,10.9010033758548,739,0.46327119540236,0.314153407023201,0.436120047043569,0.206055485653132,0.668641723818778,0.462586238165646,0.00054671184150064,1.90281335012078,0.00054671184150064,1.34331696458535,739,3.56772817324509,2.81172716071361,3.47570063316625,1.57215310940415,5.42602072388461,3.85386761448046,-3.81029592421509,15.4413108001587,-3.81029592421509,11.1271357418345,739,13.4987243304363,3.12506357801428,13.3045282468794,11.2473998935777,15.2985834883109,4.0511835947333,6.45116882595601,26.9643287307941,6.45116882595601,21.3404284271895,739,2.79430736367976e-17,2.7796318004646,-0.0878194224874692,-1.96009036749726,1.78203958514844,3.7421299526457,-7.30242484281429,11.5019885596213,-7.30242484281429,7.05879133838495,739,0.49352538301577,0.00135869565217391,0.0368604890387243,9.930996157,5.856262834,13.97125257,8.114989733,NA,422,317,"extracted","Support Vector Regression (SVR) with Radial Basis Function (RBF) Kernel",5,40
