"model","pearson_r","ci.lb","ci.ub"
"Centile2",0.280708521156329,0.197221067063544,0.360153759699043
"DBN",0.246433735970884,0.15727087832799,0.331611401815203
"DevBrainAge",0.278238788230275,0.194646212249436,0.35781887168231
"DunedinPACNI",-0.102034077967124,-0.186956896394073,-0.015597551685566
"ENIGMA",0.0950069053102833,0.00850203041668275,0.1801003489626
"Kaufmann",0.268431382363441,0.183135916221121,0.349715654160288
"PyBrainAge",0.147107850092243,0.0611297872177326,0.230918924794486
"Pyment",0.329096008574061,0.249129497404763,0.404605490141528
