"model","wMAE","ci.lb","ci.ub"
"Centile2",1.43616890976758,0.443683634839295,2.42865418469586
"DBN",1.49421206271975,0.501589048178325,2.48683507726117
"DevBrainAge",1.41149065685445,0.419024356254869,2.40395695745403
"ENIGMA",2.38762901567084,1.3947306180388,3.38052741330288
"Kaufmann",1.57585053931171,0.583243371147129,2.5684577074763
"PyBrainAge",2.36090242036105,1.36799897455631,3.3538058661658
"Pyment",1.36168285817298,0.369223385677284,2.35414233066868
